---------------------------------------
Begin Slurm Prolog: Mar-14-2026 01:36:44
Job ID:    4932660
User ID:   dfu71
Account:   gts-yke8
Job name:  wnn_cont
Partition: gpu-rtx6000
QOS:       inferno
---------------------------------------
=== Continuous State Experiment (obj-008) ===
Date: Sat Mar 14 01:36:46 AM EDT 2026
Host: atl1-1-02-005-35-0.pace.gatech.edu
GPU: Quadro RTX 6000

Device: cuda
Total configs: 180
  [1/180] noise=0.01, lat=1, embed=1, seed=42  -> dist=0.178
  [2/180] noise=0.01, lat=1, embed=1, seed=123  -> dist=0.161
  [3/180] noise=0.01, lat=1, embed=1, seed=456  -> dist=0.181
  [4/180] noise=0.01, lat=1, embed=2, seed=42  -> dist=0.178
  [5/180] noise=0.01, lat=1, embed=2, seed=123  -> dist=0.162
  [6/180] noise=0.01, lat=1, embed=2, seed=456  -> dist=0.181
  [7/180] noise=0.01, lat=1, embed=4, seed=42  -> dist=0.180
  [8/180] noise=0.01, lat=1, embed=4, seed=123  -> dist=0.164
  [9/180] noise=0.01, lat=1, embed=4, seed=456  -> dist=0.179
  [10/180] noise=0.01, lat=1, embed=8, seed=42  -> dist=0.179
  [11/180] noise=0.01, lat=1, embed=8, seed=123  -> dist=0.166
  [12/180] noise=0.01, lat=1, embed=8, seed=456  -> dist=0.180
  [13/180] noise=0.01, lat=2, embed=1, seed=42  -> dist=0.529
  [14/180] noise=0.01, lat=2, embed=1, seed=123  -> dist=0.361
  [15/180] noise=0.01, lat=2, embed=1, seed=456  -> dist=0.173
  [16/180] noise=0.01, lat=2, embed=2, seed=42  -> dist=0.530
  [17/180] noise=0.01, lat=2, embed=2, seed=123  -> dist=0.361
  [18/180] noise=0.01, lat=2, embed=2, seed=456  -> dist=0.171
  [19/180] noise=0.01, lat=2, embed=4, seed=42  -> dist=0.528
  [20/180] noise=0.01, lat=2, embed=4, seed=123  -> dist=0.361
  [21/180] noise=0.01, lat=2, embed=4, seed=456  -> dist=0.161
  [22/180] noise=0.01, lat=2, embed=8, seed=42  -> dist=0.523
  [23/180] noise=0.01, lat=2, embed=8, seed=123  -> dist=0.359
  [24/180] noise=0.01, lat=2, embed=8, seed=456  -> dist=0.167
  [25/180] noise=0.01, lat=4, embed=1, seed=42  -> dist=0.185
  [26/180] noise=0.01, lat=4, embed=1, seed=123  -> dist=0.177
  [27/180] noise=0.01, lat=4, embed=1, seed=456  -> dist=0.176
  [28/180] noise=0.01, lat=4, embed=2, seed=42  -> dist=0.186
  [29/180] noise=0.01, lat=4, embed=2, seed=123  -> dist=0.176
  [30/180] noise=0.01, lat=4, embed=2, seed=456  -> dist=0.175
  [31/180] noise=0.01, lat=4, embed=4, seed=42  -> dist=0.187
  [32/180] noise=0.01, lat=4, embed=4, seed=123  -> dist=0.176
  [33/180] noise=0.01, lat=4, embed=4, seed=456  -> dist=0.173
  [34/180] noise=0.01, lat=4, embed=8, seed=42  -> dist=0.187
  [35/180] noise=0.01, lat=4, embed=8, seed=123  -> dist=0.173
  [36/180] noise=0.01, lat=4, embed=8, seed=456  -> dist=0.111
  [37/180] noise=0.1, lat=1, embed=1, seed=42  -> dist=0.178
  [38/180] noise=0.1, lat=1, embed=1, seed=123  -> dist=0.161
  [39/180] noise=0.1, lat=1, embed=1, seed=456  -> dist=0.181
  [40/180] noise=0.1, lat=1, embed=2, seed=42  -> dist=0.178
  [41/180] noise=0.1, lat=1, embed=2, seed=123  -> dist=0.162
  [42/180] noise=0.1, lat=1, embed=2, seed=456  -> dist=0.180
  [43/180] noise=0.1, lat=1, embed=4, seed=42  -> dist=0.180
  [44/180] noise=0.1, lat=1, embed=4, seed=123  -> dist=0.164
  [45/180] noise=0.1, lat=1, embed=4, seed=456  -> dist=0.179
  [46/180] noise=0.1, lat=1, embed=8, seed=42  -> dist=0.180
  [47/180] noise=0.1, lat=1, embed=8, seed=123  -> dist=0.166
  [48/180] noise=0.1, lat=1, embed=8, seed=456  -> dist=0.180
  [49/180] noise=0.1, lat=2, embed=1, seed=42  -> dist=0.529
  [50/180] noise=0.1, lat=2, embed=1, seed=123  -> dist=0.361
  [51/180] noise=0.1, lat=2, embed=1, seed=456  -> dist=0.173
  [52/180] noise=0.1, lat=2, embed=2, seed=42  -> dist=0.529
  [53/180] noise=0.1, lat=2, embed=2, seed=123  -> dist=0.361
  [54/180] noise=0.1, lat=2, embed=2, seed=456  -> dist=0.171
  [55/180] noise=0.1, lat=2, embed=4, seed=42  -> dist=0.528
  [56/180] noise=0.1, lat=2, embed=4, seed=123  -> dist=0.362
  [57/180] noise=0.1, lat=2, embed=4, seed=456  -> dist=0.169
  [58/180] noise=0.1, lat=2, embed=8, seed=42  -> dist=0.523
  [59/180] noise=0.1, lat=2, embed=8, seed=123  -> dist=0.359
  [60/180] noise=0.1, lat=2, embed=8, seed=456  -> dist=0.166
  [61/180] noise=0.1, lat=4, embed=1, seed=42  -> dist=0.185
  [62/180] noise=0.1, lat=4, embed=1, seed=123  -> dist=0.177
  [63/180] noise=0.1, lat=4, embed=1, seed=456  -> dist=0.176
  [64/180] noise=0.1, lat=4, embed=2, seed=42  -> dist=0.186
  [65/180] noise=0.1, lat=4, embed=2, seed=123  -> dist=0.176
  [66/180] noise=0.1, lat=4, embed=2, seed=456  -> dist=0.176
